,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
277360,7295509.0,CC1=CC2=C(C=C1OC(=O)N(C)C)C(=CC(=O)O2)C3=CC4=CC=CC=C4O3,Inactive
305736,44143917.0,COC1=C(C=C(C=C1)C2=C([C@H]3CC[C@@H](C2)N3C(=O)NC4CCCCC4)C(=O)OC)OC,Inactive
130056,737721.0,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)OC,Inactive
321737,44202595.0,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3CC3)O[C@@H]1CN(C)CC4=CC=NC=C4)[C@H](C)CO,Inactive
104437,16190963.0,CC(CSC)N1CCC(CC1)(CCC2=CC=CC=C2)CO,Inactive
208676,2129425.0,CC1=C(C2=NC(=CC(=O)N2C=C1Cl)CN3CCN(CC3)C(=O)C)Cl,Inactive
315778,780373.0,C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)NC(=S)S3,Inactive
348527,25163519.0,CC1=CC=C(C=C1)C(=O)CCC(=O)NC2=C(C=CC=N2)C,Inactive
192447,4530551.0,CC1=CC=C(C=C1)S(=O)(=O)N2CCCC2C(=O)OCC3=NC4=C(C(=C(S4)C)C)C(=O)N3,Inactive
98903,2961129.0,C1COCCN1C(=O)C2=CC(=CC=C2)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],Inactive
216370,4789786.0,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)S(=O)(=O)N(C)C3=CC=CC=C3,Inactive
350460,51361306.0,COC1=C(C=C(C=C1)C2=C(N3C=C(C=CC3=N2)Br)CC4=CC(=CC=C4)Cl)OC,Inactive
164042,846414.0,CCOC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)N)C2=CC=C(C=C2)C,Inactive
66106,15998560.0,CNC(=O)CN(CCC1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)OC,Inactive
268089,1481463.0,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NNC(=O)C3CCN(CC3)CC4=CC=CC=C4,Inactive
117317,2211539.0,C1COCCN1C(=O)COC2=CC=C(C=C2)C(=S)N3CCOCC3,Inactive
192707,2327021.0,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=O)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4Cl,Inactive
102176,706914.0,CCN1CCN(CC1)C(=S)C2=CC=C(C=C2)OC,Inactive
280875,4550543.0,CC1(CC2=C(C(N1)(C)C)SC(=C2C(=O)N)NC(=O)C3=CC4=C(C=C3)OCCO4)C,Inactive
35929,1098346.0,CN1C2=C(C=C(C=C2)Br)C(=C1O)N=NC(=O)CNC(=O)C3=CC=CC=C3,Inactive
218124,8084964.0,CC1=CC(=CC(=C1)NC(=O)CCN2C(=O)CSC3=CC=CC=C32)C,Inactive
304090,45281092.0,C1CC(OC1)CNCCCN2C=NC3=C2N=CN=C3OCC4=CC=CC=C4,Inactive
358940,3932775.0,CCC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=CC=C(C=C3)N4C(=O)CCC4=O,Inactive
348543,25163532.0,CCOC1=CC=C(C=C1)OCCC(=O)OCC2=C(C(NC(=O)N2)C)C(=O)OCC,Inactive
119992,6463346.0,CSC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N3C=NN=N3,Inactive
196419,2426511.0,CC1=CC(=O)N2C3=CC=CC=C3SC2=C1C#N,Inactive
265297,3840239.0,C1=CC(=CC(=C1)F)COC2=COC(=CC2=O)CO,Inactive
354061,42601175.0,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=C(C=CC(=C5)F)NC2=O)C=C(C=C4)OC)C6=CC=CC=C6,Inactive
166421,1266914.0,CC1=NN2C(=NN=C2C3=CC=CC=C13)C4=CC=NC=C4,Inactive
134380,2299390.0,CCC1=CC(=CC=C1)OCCCCN(CC)CC,Inactive
338697,24979195.0,CC1=C(C=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)OCC(=O)N3CCC(CC3)C(=O)OC)C,Inactive
138768,3769265.0,CCC1=CC=C(C=C1)C(=O)C2=C(C3=C(O2)N=C(C=C3C)C)N,Inactive
